x,y,species cloglog values
738.0,738.0,0.012405519
739.0,739.0,0.007895935
740.0,740.0,0.002968529
741.0,741.0,0.008192646
742.0,742.0,0.01691428
743.0,743.0,0.012806073
744.0,744.0,0.011144898
745.0,745.0,0.004525026
746.0,746.0,0.0093696145
747.0,747.0,0.016095854
748.0,748.0,0.020516142
749.0,749.0,0.005318312
750.0,750.0,0.007708215
751.0,751.0,0.011167909
752.0,752.0,0.0134145785
753.0,753.0,0.0034121044
754.0,754.0,0.008278817
755.0,755.0,0.0039671375
756.0,756.0,0.010471963
757.0,757.0,0.003645596
758.0,758.0,0.016976083
759.0,759.0,0.0019294798
760.0,760.0,0.004256239
761.0,761.0,0.011329611
762.0,762.0,0.0047430405
763.0,763.0,0.0057127774
764.0,764.0,0.00456757
765.0,765.0,0.0074836905
766.0,766.0,0.0017670261
767.0,767.0,9.5250993E-4
768.0,768.0,0.01129428
769.0,769.0,0.018845143
770.0,770.0,3.2996453E-4
771.0,771.0,0.026684063
772.0,772.0,0.009638825
773.0,773.0,0.0055060284
774.0,774.0,0.012763047
775.0,775.0,0.0021126056
776.0,776.0,0.012041845
777.0,777.0,0.009806051
778.0,778.0,0.0030598498
779.0,779.0,0.010446331
780.0,780.0,0.012778296
781.0,781.0,0.011066033
782.0,782.0,0.037202932
783.0,783.0,0.006982347
784.0,784.0,0.0130363135
785.0,785.0,0.003919761
786.0,786.0,0.00870755
787.0,787.0,0.0066252076
788.0,788.0,0.0061729667
789.0,789.0,0.0258207
790.0,790.0,0.007878646
791.0,791.0,0.00688001
792.0,792.0,0.010045769
793.0,793.0,0.013907772
794.0,794.0,0.0036889238
795.0,795.0,0.0068867565
796.0,796.0,0.0028586166
797.0,797.0,0.0057799323
798.0,798.0,0.003544999
799.0,799.0,0.026050638
800.0,800.0,0.015612363
801.0,801.0,0.0036803966
802.0,802.0,0.009465222
803.0,803.0,0.014051676
804.0,804.0,0.010093007
805.0,805.0,0.0023103019
806.0,806.0,0.009942942
807.0,807.0,0.004913522
808.0,808.0,0.020767838
809.0,809.0,0.0015986447
810.0,810.0,0.011251328
811.0,811.0,0.016320033
812.0,812.0,0.008327694
813.0,813.0,0.008947408
814.0,814.0,0.0060102716
815.0,815.0,0.009309565
816.0,816.0,0.0055608475
817.0,817.0,0.00519123
818.0,818.0,0.005936145
819.0,819.0,0.013547174
820.0,820.0,0.017028261
821.0,821.0,0.0077023767
822.0,822.0,0.025319738
823.0,823.0,0.0843687
824.0,824.0,0.007963006
825.0,825.0,0.008574266
826.0,826.0,0.0110561075
827.0,827.0,0.06378587
828.0,828.0,0.011831388
829.0,829.0,0.005124347
830.0,830.0,0.016031187
831.0,831.0,0.10299143
832.0,832.0,0.0017852067
833.0,833.0,0.004699788
834.0,834.0,0.010293858
835.0,835.0,0.0066368277
836.0,836.0,0.0019044917
837.0,837.0,0.0024668274
838.0,838.0,0.02021124
839.0,839.0,0.007857395
840.0,840.0,0.0022764758
841.0,841.0,0.005380824
842.0,842.0,0.021068344
843.0,843.0,0.0077673877
844.0,844.0,0.0027157282
845.0,845.0,0.01443767
846.0,846.0,0.0039211507
847.0,847.0,0.0015816868
848.0,848.0,0.0049720802
849.0,849.0,0.033069365
850.0,850.0,0.010380549
851.0,851.0,0.015792625
852.0,852.0,0.0019774197
853.0,853.0,0.022365613
854.0,854.0,0.0725793
855.0,855.0,0.008989126
856.0,856.0,0.30257183
857.0,857.0,0.26409394
858.0,858.0,0.01450007
859.0,859.0,0.047976058
860.0,860.0,0.007531616
861.0,861.0,0.0076941457
862.0,862.0,0.028549237
863.0,863.0,0.07915064
864.0,864.0,0.18646224
865.0,865.0,0.014596271
866.0,866.0,0.060841
867.0,867.0,0.34849504
868.0,868.0,0.03333212
869.0,869.0,0.31098247
870.0,870.0,0.21507892
871.0,871.0,0.0108041195
872.0,872.0,0.023601733
873.0,873.0,0.29479697
874.0,874.0,0.036515772
875.0,875.0,0.027700022
876.0,876.0,0.0405579
877.0,877.0,0.08527372
878.0,878.0,0.24204469
879.0,879.0,0.013441539
880.0,880.0,0.06511206
881.0,881.0,0.008347293
882.0,882.0,0.26514363
883.0,883.0,0.013096897
884.0,884.0,0.022399163
885.0,885.0,0.27899688
886.0,886.0,0.017233232
887.0,887.0,0.1440832
888.0,888.0,0.4197383
889.0,889.0,0.027938068
890.0,890.0,0.012217835
891.0,891.0,0.017611895
892.0,892.0,0.023719206
893.0,893.0,0.3087796
